Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sun Aug 20 12:09:18 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.363,4.99
Sun Aug 20 12:09:19 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.565,4.964
Sun Aug 20 12:09:20 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.653,4.938
Sun Aug 20 12:09:21 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.691,4.912
Sun Aug 20 12:09:22 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.079,4.077,4.075,4.079,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.707,4.886
Sun Aug 20 12:09:23 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.38,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.707,4.886
Sun Aug 20 12:09:24 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 12:09:25 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.38,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 12:09:26 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.38,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 12:09:27 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.38,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,5.0,4.868
Sun Aug 20 12:09:28 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.769,4.851
Sun Aug 20 12:09:29 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.38,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.769,4.851
Sun Aug 20 12:09:30 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.769,4.825
Sun Aug 20 12:09:31 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2052.0,2051.0,0.0,4.742,4.825
Sun Aug 20 12:09:32 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2051.0,2051.0,0.0,4.742,4.825
Sun Aug 20 12:09:33 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2051.0,2051.0,0.0,4.742,4.825
Sun Aug 20 12:09:34 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.079,4.077,4.075,4.079,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.9,2051.0,2051.0,0.0,4.264,4.815
Sun Aug 20 12:09:35 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.08,4.077,4.075,4.079,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2051.0,2051.0,0.0,4.264,4.815
Sun Aug 20 12:09:36 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.37,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.079,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2051.0,2051.0,0.0,4.264,4.815
Sun Aug 20 12:09:37 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.079,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2054.0,2052.0,0.0,4.264,4.815
Sun Aug 20 12:09:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.0,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.079,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2054.0,2052.0,0.0,4.264,4.815
Sun Aug 20 12:09:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,19.0,252.0,0.1,285.3,285.3,96.5,26.6,0.364,3.0,100.0,285.36,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,285.3,30.0,28.0,29.0,0.0,0.0,111.0,131.0,4.075,4.079,4.077,4.075,4.08,4.077,5.2,5.2,5.2,51.0,57.0,51.0,57.0,1.0,1.0,13.8,2054.0,2052.0,0.0,4.659,4.789
